DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-33.50265847815711
LONGITUD,-70.70821188888439
ALTURA,518.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2007-01-07 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.95,1.16,1.00,0.00
2007-01-07 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.44,1.03,1.00,0.00
2007-01-07 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.98,0.87,1.00,0.00
2007-01-07 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.63,1.07,1.00,0.00
2007-01-07 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.89,1.15,1.00,0.00
2007-01-07 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.84,0.75,1.00,0.00
2007-01-07 06:00:00,12.06,0.00,11.80,0.26,12.90,0.00,12.90,0.00,14.46,0.73,1.00,0.00
2007-01-07 07:00:00,74.46,28.85,41.14,4.48,218.44,173.46,44.98,701.31,15.77,0.65,0.00,0.00
2007-01-07 08:00:00,300.66,232.96,58.75,8.96,436.58,372.34,64.24,836.23,17.88,0.69,0.00,0.00
2007-01-07 09:00:00,533.38,447.73,72.43,13.22,644.44,565.24,79.20,901.09,20.41,1.11,0.00,0.00
2007-01-07 10:00:00,738.75,638.66,83.20,16.89,823.20,732.22,90.98,937.70,23.02,1.59,0.00,0.00
2007-01-07 11:00:00,895.94,785.32,90.96,19.66,958.48,859.02,99.46,959.20,25.00,2.53,0.00,0.00
2007-01-07 12:00:00,989.91,873.10,95.49,21.31,1038.88,934.46,104.42,969.78,26.67,2.94,0.00,0.00
2007-01-07 13:00:00,1013.31,894.96,96.63,21.72,1058.80,953.14,105.66,972.32,28.01,3.48,0.00,0.00
2007-01-07 14:00:00,963.98,848.82,94.31,20.86,1016.68,913.56,103.12,967.19,29.05,3.65,0.00,0.00
2007-01-07 15:00:00,846.56,739.13,88.64,18.80,916.14,819.22,96.92,954.03,28.53,3.61,0.00,0.00
2007-01-07 16:00:00,670.96,575.45,79.82,15.69,764.76,677.48,87.28,929.67,27.60,3.40,0.00,0.00
2007-01-07 17:00:00,452.85,373.05,68.02,11.77,573.86,499.48,74.38,886.57,26.61,3.18,0.00,0.00
2007-01-07 18:00:00,215.74,155.40,52.99,7.35,358.08,300.14,57.94,802.60,24.86,2.80,0.00,0.00
2007-01-07 19:00:00,35.86,0.00,32.94,2.91,142.06,106.04,36.02,611.87,22.92,2.42,0.00,0.00
2007-01-07 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.11,1.98,1.00,0.00
2007-01-07 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.28,1.59,1.00,0.00
2007-01-07 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.66,1.23,1.00,0.00
2007-01-07 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.85,1.06,1.00,0.00
2007-01-08 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.06,0.85,1.00,0.00
2007-01-08 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.35,0.48,1.00,0.00
2007-01-08 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.51,0.29,1.00,0.00
2007-01-08 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.15,0.29,1.00,0.00
2007-01-08 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.22,0.48,1.00,0.00
2007-01-08 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.29,1.00,0.00
2007-01-08 06:00:00,11.74,0.00,11.49,0.26,12.56,0.00,12.56,0.00,17.64,0.41,1.00,0.00
2007-01-08 07:00:00,75.07,28.86,41.61,4.60,224.14,178.64,45.50,729.74,18.41,0.53,0.00,0.00
2007-01-08 08:00:00,308.19,239.47,59.54,9.19,447.72,382.62,65.10,863.87,20.22,0.53,0.00,0.00
2007-01-08 09:00:00,548.32,461.21,73.53,13.58,661.92,581.52,80.40,930.07,22.35,0.79,0.00,0.00
2007-01-08 10:00:00,760.86,658.92,84.56,17.37,846.90,754.44,92.46,968.19,25.13,1.26,0.00,0.00
2007-01-08 11:00:00,924.13,811.30,92.57,20.26,987.50,886.28,101.22,991.02,27.66,1.95,0.00,0.00
2007-01-08 12:00:00,1019.65,900.60,97.12,21.93,1068.74,962.54,106.20,999.74,29.39,2.41,0.00,0.00
2007-01-08 13:00:00,1042.61,922.11,98.18,22.32,1088.00,980.64,107.36,1000.77,30.68,3.00,0.00,0.00
2007-01-08 14:00:00,991.26,874.11,95.73,21.42,1043.94,939.26,104.68,994.46,31.88,3.22,0.00,0.00
2007-01-08 15:00:00,869.55,760.42,89.86,19.27,939.46,841.20,98.26,979.32,31.33,3.33,0.00,0.00
2007-01-08 16:00:00,688.48,591.61,80.81,16.07,783.16,694.80,88.36,952.97,30.49,3.31,0.00,0.00
2007-01-08 17:00:00,464.69,383.85,68.79,12.05,587.24,512.02,75.22,908.14,29.05,3.16,0.00,0.00
2007-01-08 18:00:00,221.49,160.47,53.52,7.50,365.74,307.22,58.52,820.82,27.55,2.97,0.00,0.00
2007-01-08 19:00:00,36.25,0.00,33.27,2.98,145.08,108.70,36.38,626.60,25.40,2.47,0.00,0.00
2007-01-08 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.78,1.85,1.00,0.00
2007-01-08 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.87,1.32,1.00,0.00
2007-01-08 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.31,0.95,1.00,0.00
2007-01-08 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.86,0.71,1.00,0.00
2007-01-09 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.82,0.45,1.00,0.00
2007-01-09 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.95,0.29,1.00,0.00
2007-01-09 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.32,0.21,1.00,0.00
2007-01-09 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.83,0.31,1.00,0.00
2007-01-09 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,0.37,1.00,0.00
2007-01-09 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.31,0.41,1.00,0.00
2007-01-09 06:00:00,6.21,0.00,6.07,0.14,6.64,0.00,6.64,0.00,16.67,0.34,1.00,1.00
2007-01-09 07:00:00,74.74,28.37,41.70,4.66,227.20,181.60,45.60,750.13,16.93,0.26,0.00,0.00
2007-01-09 08:00:00,313.70,244.39,59.96,9.35,455.90,390.34,65.56,886.00,18.78,0.14,0.00,0.00
2007-01-09 09:00:00,557.00,469.18,74.04,13.78,671.76,590.80,80.96,948.01,21.27,0.52,0.00,0.00
